Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
AGUASCALIENTES,2015,1,6.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0
AGUASCALIENTES,2016,1,0.0,3.0,7.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0
AGUASCALIENTES,2017,1,5.0,2.0,4.0,6.0,10.0,12.0,3.0,10.0,10.0,9.0,5.0,6.0
AGUASCALIENTES,2018,1,9.0,7.0,5.0,8.0,9.0,6.0,4.0,5.0,10.0,3.0,5.0,4.0
AGUASCALIENTES,2019,1,9.0,7.0,9.0,6.0,10.0,6.0,5.0,2.0,11.0,11.0,7.0,8.0
AGUASCALIENTES,2020,1,4.0,9.0,7.0,4.0,11.0,8.0,10.0,6.0,2.0,4.0,5.0,2.0
AGUASCALIENTES,2021,1,3.0,5.0,6.0,5.0,7.0,7.0,6.0,9.0,4.0,12.0,2.0,9.0
AGUASCALIENTES,2022,1,6.0,3.0,5.0,2.0,4.0,8.0,7.0,9.0,8.0,8.0,4.0,6.0
AGUASCALIENTES,2023,1,5.0,7.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJA CALIFORNIA,2015,2,49.0,56.0,56.0,60.0,75.0,76.0,72.0,77.0,86.0,68.0,78.0,68.0
BAJA CALIFORNIA,2016,2,87.0,71.0,88.0,75.0,98.0,81.0,104.0,81.0,126.0,100.0,124.0,133.0
BAJA CALIFORNIA,2017,2,129.0,125.0,151.0,146.0,185.0,186.0,174.0,197.0,230.0,206.0,178.0,177.0
BAJA CALIFORNIA,2018,2,212.0,183.0,208.0,240.0,239.0,220.0,272.0,242.0,239.0,255.0,253.0,235.0
BAJA CALIFORNIA,2019,2,234.0,184.0,181.0,194.0,231.0,241.0,260.0,248.0,213.0,218.0,217.0,185.0
BAJA CALIFORNIA,2020,2,193.0,170.0,225.0,220.0,240.0,197.0,245.0,250.0,229.0,206.0,225.0,229.0
BAJA CALIFORNIA,2021,2,244.0,217.0,240.0,239.0,252.0,241.0,252.0,235.0,195.0,176.0,196.0,183.0
BAJA CALIFORNIA,2022,2,200.0,150.0,187.0,194.0,213.0,230.0,229.0,205.0,203.0,223.0,175.0,190.0
BAJA CALIFORNIA,2023,2,175.0,142.0,152.0,164.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJA CALIFORNIA SUR,2015,3,17.0,7.0,8.0,16.0,16.0,6.0,11.0,23.0,29.0,6.0,7.0,5.0
BAJA CALIFORNIA SUR,2016,3,9.0,4.0,6.0,12.0,10.0,17.0,12.0,29.0,31.0,25.0,32.0,29.0
BAJA CALIFORNIA SUR,2017,3,47.0,45.0,62.0,14.0,26.0,34.0,40.0,38.0,48.0,105.0,90.0,61.0
BAJA CALIFORNIA SUR,2018,3,35.0,18.0,24.0,14.0,12.0,6.0,6.0,14.0,20.0,5.0,4.0,4.0
BAJA CALIFORNIA SUR,2019,3,13.0,5.0,13.0,9.0,6.0,3.0,5.0,7.0,6.0,7.0,5.0,2.0
BAJA CALIFORNIA SUR,2020,3,6.0,2.0,2.0,3.0,7.0,5.0,6.0,8.0,3.0,5.0,5.0,10.0
BAJA CALIFORNIA SUR,2021,3,6.0,1.0,7.0,5.0,6.0,3.0,3.0,4.0,4.0,0.0,0.0,9.0
BAJA CALIFORNIA SUR,2022,3,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,6.0,3.0,0.0,4.0
BAJA CALIFORNIA SUR,2023,3,3.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPECHE,2015,4,2.0,3.0,9.0,4.0,7.0,5.0,0.0,3.0,3.0,4.0,3.0,6.0
CAMPECHE,2016,4,12.0,3.0,4.0,7.0,7.0,5.0,8.0,8.0,6.0,7.0,7.0,7.0
CAMPECHE,2017,4,7.0,6.0,8.0,6.0,5.0,8.0,3.0,7.0,5.0,3.0,4.0,4.0
CAMPECHE,2018,4,4.0,7.0,2.0,3.0,4.0,10.0,6.0,9.0,5.0,5.0,7.0,7.0
CAMPECHE,2019,4,3.0,5.0,2.0,4.0,9.0,5.0,7.0,12.0,6.0,11.0,3.0,6.0
CAMPECHE,2020,4,4.0,9.0,8.0,3.0,6.0,5.0,7.0,9.0,7.0,9.0,2.0,8.0
CAMPECHE,2021,4,5.0,11.0,6.0,3.0,12.0,5.0,7.0,15.0,9.0,4.0,1.0,7.0
CAMPECHE,2022,4,5.0,4.0,3.0,2.0,11.0,9.0,9.0,1.0,7.0,8.0,15.0,13.0
CAMPECHE,2023,4,10.0,4.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIAPAS,2015,7,37.0,40.0,32.0,48.0,40.0,38.0,34.0,57.0,53.0,45.0,40.0,38.0
CHIAPAS,2016,7,36.0,34.0,40.0,35.0,34.0,40.0,39.0,40.0,38.0,50.0,44.0,38.0
CHIAPAS,2017,7,46.0,46.0,42.0,43.0,38.0,45.0,34.0,41.0,39.0,34.0,31.0,36.0
CHIAPAS,2018,7,41.0,46.0,51.0,50.0,52.0,43.0,57.0,45.0,53.0,44.0,41.0,39.0
CHIAPAS,2019,7,49.0,47.0,35.0,42.0,38.0,45.0,46.0,36.0,55.0,31.0,52.0,49.0
CHIAPAS,2020,7,38.0,35.0,27.0,33.0,32.0,40.0,42.0,48.0,29.0,36.0,33.0,26.0
