Año,Clave_Ent,Entidad,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,1,AGUASCALIENTES,Homicidio,Homicidio doloso,Con arma de fuego,3.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
2015,1,AGUASCALIENTES,Homicidio,Homicidio doloso,Con arma blanca,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2015,1,AGUASCALIENTES,Homicidio,Homicidio doloso,Con otro elemento,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
2015,1,AGUASCALIENTES,Homicidio,Homicidio doloso,No especificado,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,Con arma de fuego,20.0,26.0,33.0,42.0,49.0,43.0,46.0,50.0,57.0,44.0,51.0,36.0
2015,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,Con arma blanca,8.0,14.0,6.0,6.0,7.0,11.0,5.0,10.0,10.0,10.0,10.0,16.0
2015,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,Con otro elemento,17.0,14.0,9.0,11.0,17.0,21.0,19.0,14.0,13.0,14.0,17.0,14.0
2015,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,No especificado,4.0,2.0,8.0,1.0,2.0,1.0,2.0,3.0,6.0,0.0,0.0,2.0
2015,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,Con arma de fuego,11.0,4.0,4.0,11.0,12.0,3.0,8.0,17.0,27.0,2.0,0.0,3.0
2015,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,Con arma blanca,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
2015,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,Con otro elemento,2.0,1.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,6.0,0.0
2015,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,No especificado,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2015,4,CAMPECHE,Homicidio,Homicidio doloso,Con arma de fuego,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0
