Año,Entidad,Clave_Ent,Poblacion
2015,AGUASCALIENTES,1,1331825.0
2016,AGUASCALIENTES,1,1355321.0
2017,AGUASCALIENTES,1,1375782.0
2018,AGUASCALIENTES,1,1395794.0
2019,AGUASCALIENTES,1,1415421.0
2020,AGUASCALIENTES,1,1434635.0
2021,AGUASCALIENTES,1,1453452.0
2022,AGUASCALIENTES,1,1471859.0
2023,AGUASCALIENTES,1,1489875.0
2015,BAJA CALIFORNIA,2,3357794.0
2016,BAJA CALIFORNIA,2,3403335.0
2017,BAJA CALIFORNIA,2,3462872.0
2018,BAJA CALIFORNIA,2,3521242.0
2019,BAJA CALIFORNIA,2,3578561.0
2020,BAJA CALIFORNIA,2,3634868.0
2021,BAJA CALIFORNIA,2,3690160.0
2022,BAJA CALIFORNIA,2,3744415.0
2023,BAJA CALIFORNIA,2,3797610.0
2015,BAJA CALIFORNIA SUR,3,719846.0
2016,BAJA CALIFORNIA SUR,3,736995.0
2017,BAJA CALIFORNIA SUR,3,754270.0
2018,BAJA CALIFORNIA SUR,3,771294.0
2019,BAJA CALIFORNIA SUR,3,788119.0
2020,BAJA CALIFORNIA SUR,3,804708.0
2021,BAJA CALIFORNIA SUR,3,821059.0
2022,BAJA CALIFORNIA SUR,3,837168.0
2023,BAJA CALIFORNIA SUR,3,853026.0
2015,CAMPECHE,4,916832.0
2016,CAMPECHE,4,933436.0
2017,CAMPECHE,4,950458.0
2018,CAMPECHE,4,967319.0
2019,CAMPECHE,4,984046.0
2020,CAMPECHE,4,1000617.0
2021,CAMPECHE,4,1017011.0
2022,CAMPECHE,4,1033223.0
2023,CAMPECHE,4,1049244.0
2015,COAHUILA DE ZARAGOZA,5,3000556.0
2016,COAHUILA DE ZARAGOZA,5,3043062.0
2017,COAHUILA DE ZARAGOZA,5,3087852.0
2018,COAHUILA DE ZARAGOZA,5,3132017.0
2019,COAHUILA DE ZARAGOZA,5,3175643.0
2020,COAHUILA DE ZARAGOZA,5,3218720.0
2021,COAHUILA DE ZARAGOZA,5,3261259.0
2022,COAHUILA DE ZARAGOZA,5,3303220.0
2023,COAHUILA DE ZARAGOZA,5,3344621.0
2015,COLIMA,6,721696.0
2016,COLIMA,6,734663.0
2017,COLIMA,6,747603.0
2018,COLIMA,6,760333.0
2019,COLIMA,6,772842.0
2020,COLIMA,6,785153.0
2021,COLIMA,6,797245.0
2022,COLIMA,6,809115.0
2023,COLIMA,6,820771.0
2015,CHIAPAS,7,5307819.0
2016,CHIAPAS,7,5393944.0
2017,CHIAPAS,7,5479352.0
2018,CHIAPAS,7,5563869.0
2019,CHIAPAS,7,5647532.0
2020,CHIAPAS,7,5730367.0
2021,CHIAPAS,7,5812375.0
2022,CHIAPAS,7,5893520.0
2023,CHIAPAS,7,5973838.0
2015,CHIHUAHUA,8,3616481.0
2016,CHIHUAHUA,8,3649416.0
2017,CHIHUAHUA,8,3689398.0
2018,CHIHUAHUA,8,3727984.0
2019,CHIHUAHUA,8,3765325.0
2020,CHIHUAHUA,8,3801487.0
2021,CHIHUAHUA,8,3836506.0
2022,CHIHUAHUA,8,3870381.0
2023,CHIHUAHUA,8,3903129.0
2015,CIUDAD DE MEXICO,9,9058734.0
2016,CIUDAD DE MEXICO,9,9053990.0
2017,CIUDAD DE MEXICO,9,9049086.0
2018,CIUDAD DE MEXICO,9,9041395.0
2019,CIUDAD DE MEXICO,9,9031213.0
2020,CIUDAD DE MEXICO,9,9018645.0
2021,CIUDAD DE MEXICO,9,9003827.0
2022,CIUDAD DE MEXICO,9,8986774.0
2023,CIUDAD DE MEXICO,9,8967558.0
2015,DURANGO,10,1781575.0
2016,DURANGO,10,1801963.0
2017,DURANGO,10,1819494.0
2018,DURANGO,10,1836460.0
2019,DURANGO,10,1852952.0
2020,DURANGO,10,1868996.0
2021,DURANGO,10,1884622.0
2022,DURANGO,10,1899856.0
2023,DURANGO,10,1914693.0
2015,GUANAJUATO,11,5930618.0
2016,GUANAJUATO,11,5997487.0
2017,GUANAJUATO,11,6058569.0
2018,GUANAJUATO,11,6117205.0
2019,GUANAJUATO,11,6173718.0
2020,GUANAJUATO,11,6228175.0
2021,GUANAJUATO,11,6280645.0
2022,GUANAJUATO,11,6331142.0
2023,GUANAJUATO,11,6379677.0
2015,GUERRERO,12,3576592.0
2016,GUERRERO,12,3597311.0
2017,GUERRERO,12,3614241.0
2018,GUERRERO,12,3629733.0
2019,GUERRERO,12,3643974.0
2020,GUERRERO,12,3657048.0
2021,GUERRERO,12,3668973.0
2022,GUERRERO,12,3679821.0
2023,GUERRERO,12,3689597.0
2015,HIDALGO,13,2899495.0
2016,HIDALGO,13,2938756.0
2017,HIDALGO,13,2976979.0
2018,HIDALGO,13,3014258.0
2019,HIDALGO,13,3050720.0
2020,HIDALGO,13,3086414.0
2021,HIDALGO,13,3121355.0
2022,HIDALGO,13,3155581.0
2023,HIDALGO,13,3189102.0
2015,JALISCO,14,7963314.0
2016,JALISCO,14,8055955.0
2017,JALISCO,14,8149170.0
2018,JALISCO,14,8238991.0
2019,JALISCO,14,8325800.0
2020,JALISCO,14,8409693.0
2021,JALISCO,14,8490806.0
2022,JALISCO,14,8569204.0
2023,JALISCO,14,8644920.0
2015,MEXICO,15,16453628.0
2016,MEXICO,15,16658503.0
2017,MEXICO,15,16861082.0
2018,MEXICO,15,17056666.0
2019,MEXICO,15,17245551.0
2020,MEXICO,15,17427790.0
2021,MEXICO,15,17603429.0
2022,MEXICO,15,17772460.0
2023,MEXICO,15,17934893.0
2015,MICHOACAN DE OCAMPO,16,4644732.0
2016,MICHOACAN DE OCAMPO,16,4684829.0
2017,MICHOACAN DE OCAMPO,16,4721848.0
2018,MICHOACAN DE OCAMPO,16,4757482.0
2019,MICHOACAN DE OCAMPO,16,4791977.0
2020,MICHOACAN DE OCAMPO,16,4825401.0
2021,MICHOACAN DE OCAMPO,16,4857777.0
2022,MICHOACAN DE OCAMPO,16,4889123.0
2023,MICHOACAN DE OCAMPO,16,4919448.0
2015,MORELOS,17,1930505.0
2016,MORELOS,17,1954717.0
2017,MORELOS,17,1977946.0
2018,MORELOS,17,2000527.0
2019,MORELOS,17,2022568.0
